date,regime,avg_correlation,portfolio_return_pct,spy_return_pct
2017-03-01,medium,,-1.4264999999999999,-1.4264999999999999
2017-04-01,medium,,1.4227999999999998,1.4227999999999998
2017-05-01,medium,,1.9601,1.9601
2017-06-01,medium,,0.014100000000000001,0.014100000000000001
2017-07-01,medium,,2.1059,2.1059
2017-08-01,medium,,0.21220000000000003,0.21220000000000003
2017-09-01,medium,,2.3113,2.3113
2017-10-01,medium,,2.0521000000000003,2.0521000000000003
2017-11-01,medium,,2.7032,2.7032
2017-12-01,medium,,2.1511,2.1511
2018-01-01,medium,,4.7665,4.7665
2018-02-01,medium,,-4.9308,-4.9308
2018-03-01,medium,,-3.4352,-3.4352
2018-04-01,medium,,2.915,2.915
2018-05-01,medium,,3.2528,3.2528
2018-06-01,medium,,-0.1892,-0.1892
2018-07-01,medium,,3.3129,3.3129
2018-08-01,medium,,3.1867,3.1867
2018-09-01,medium,,1.117,1.117
2018-10-01,medium,,-6.2459,-6.2459
2018-11-01,medium,,2.116,2.116
2018-12-01,medium,,-9.9018,-9.9018
2019-01-01,medium,,7.9456,7.9456
2019-02-01,medium,,3.8384,3.8384
2019-03-01,medium,,2.3761,2.3761
2019-04-01,medium,,2.0931,2.0931
2019-05-01,medium,,-5.908399999999999,-5.908399999999999
2019-06-01,medium,,8.205,8.205
2019-07-01,medium,,-0.27859999999999996,-0.27859999999999996
2019-08-01,medium,,-1.3897,-1.3897
2019-09-01,medium,,1.3261,1.3261
2019-10-01,medium,,4.399900000000001,4.399900000000001
2019-11-01,medium,,1.7964999999999998,1.7964999999999998
2019-12-01,medium,,4.7576,4.7576
2020-01-01,medium,,-0.2311,-0.2311
2020-02-01,medium,,-4.6358999999999995,-4.6358999999999995
2020-03-01,medium,,-19.8958,-19.8958
2020-04-01,medium,,14.884,14.884
2020-05-01,medium,,8.048,8.048
2020-06-01,medium,,2.0746,2.0746
2020-07-01,medium,,5.8856,5.8856
2020-08-01,medium,,7.2387999999999995,7.2387999999999995
2020-09-01,medium,,-4.028700000000001,-4.028700000000001
2020-10-01,medium,,-2.0305,-2.0305
2020-11-01,medium,,10.8501,10.8501
2020-12-01,medium,,1.184,1.184
2021-01-01,medium,,2.0187,2.0187
2021-02-01,medium,,3.5486999999999997,3.5486999999999997
2021-03-01,medium,,3.1666,3.1666
2021-04-01,medium,,4.3929,4.3929
2021-05-01,medium,,0.3513,0.3513
2021-06-01,medium,,2.8995,2.8995
2021-07-01,medium,,1.6616,1.6616
2021-08-01,medium,,3.2471,3.2471
2021-09-01,medium,,-3.5770999999999997,-3.5770999999999997
2021-10-01,medium,,5.9411,5.9411
2021-11-01,medium,,-2.0739,-2.0739
2021-12-01,medium,,6.4123,6.4123
2022-01-01,medium,,-5.183,-5.183
2022-02-01,medium,,-5.0707,-5.0707
2022-03-01,medium,,5.6627,5.6627
2022-04-01,medium,,-8.488999999999999,-8.488999999999999
2022-05-01,medium,,-1.1789,-1.1789
2022-06-01,medium,,-6.5188999999999995,-6.5188999999999995
2022-07-01,medium,,7.7447,7.7447
2022-08-01,medium,,-3.4921,-3.4921
2022-09-01,medium,,-7.1392999999999995,-7.1392999999999995
2022-10-01,medium,,4.882899999999999,4.882899999999999
2022-11-01,medium,,5.9455,5.9455
2022-12-01,medium,,-6.0901,-6.0901
2023-01-01,medium,,7.8714,7.8714
2023-02-01,medium,,-3.9086000000000003,-3.9086000000000003
2023-03-01,medium,,4.5038,4.5038
2023-04-01,medium,,1.1088,1.1088
2023-05-01,medium,,1.5193999999999999,1.5193999999999999
2023-06-01,medium,,5.5998,5.5998
2023-07-01,medium,,2.8602,2.8602
2023-08-01,medium,,-1.1592,-1.1592
2023-09-01,medium,,-4.9603,-4.9603
2023-10-01,medium,,-1.0875,-1.0875
2023-11-01,medium,,8.6211,8.6211
2023-12-01,medium,,3.3695999999999997,3.3695999999999997
2024-01-01,medium,,3.5019,3.5019
2024-02-01,medium,,4.8349,4.8349
2024-03-01,medium,,2.1316,2.1316
2024-04-01,medium,,-4.1782,-4.1782
2024-05-01,medium,,5.4861,5.4861
2024-06-01,medium,,3.657,3.657
2024-07-01,medium,,-0.4263,-0.4263
2024-08-01,medium,,1.6696,1.6696
2024-09-01,medium,,3.312,3.312
2024-10-01,medium,,0.4254,0.4254
2024-11-01,medium,,5.7074,5.7074
2024-12-01,medium,,-2.8203,-2.8203
2025-01-01,medium,,2.2464999999999997,2.2464999999999997
2025-02-01,medium,,-2.3423,-2.3423
2025-03-01,medium,,-3.6167,-3.6167
2025-04-01,medium,,-0.4464,-0.4464
2025-05-01,medium,,6.132,6.132
2025-06-01,medium,,4.5153,4.5153
2025-07-01,medium,,0.6592,0.6592
2025-08-01,medium,,2.9839,2.9839
2025-09-01,medium,,4.6907,4.6907
2025-10-01,medium,,2.2275,2.2275
2025-11-01,medium,,-0.4493,-0.4493
2025-12-01,medium,,0.4263,0.4263
