symbol_a,symbol_b,correlation,sector,industry_a,industry_b,same_industry,mktcap_a_bn,mktcap_b_bn,mktcap_ratio,common_days
ADX,ETG,0.819,Financial Services,Asset Management,Asset Management - Income,False,2.4,1.68,1.43,749
ASB,OCFC,0.819,Financial Services,Banks - Regional,Banks - Regional,True,4.25,1.03,4.13,749
BBT,TCBK,0.819,Financial Services,Asset Management,Banks - Regional,False,2.31,1.54,1.5,749
OCFC,WSBC,0.819,Financial Services,Banks - Regional,Banks - Regional,True,1.03,2.98,2.89,749
FRME,QCRH,0.819,Financial Services,Banks - Regional,Banks - Regional,True,2.16,1.41,1.54,749
DEI,SLG,0.819,Real Estate,REIT - Office,REIT - Office,True,3.11,3.23,1.04,749
CNOB,SASR,0.8189,Financial Services,Banks - Regional,Banks - Regional,True,1.32,1.52,1.15,538
ASB,TCBK,0.8189,Financial Services,Banks - Regional,Banks - Regional,True,4.25,1.54,2.77,749
HOMB,WTFC,0.8189,Financial Services,Banks - Regional,Banks - Regional,True,5.47,9.36,1.71,749
CATY,GBCI,0.8189,Financial Services,Banks - Regional,Banks - Regional,True,3.28,5.72,1.75,749
INDB,TRST,0.8189,Financial Services,Banks - Regional,Banks - Regional,True,3.61,1.02,3.53,749
CSQ,ETW,0.8188,Financial Services,Asset Management,Asset Management - Global,False,3.1,1.22,2.54,749
SSB,TCBI,0.8188,Financial Services,Banks - Regional,Banks - Regional,True,9.42,4.08,2.31,749
IBTX,SASR,0.8188,Financial Services,Banks - Regional,Banks - Regional,True,2.1,1.52,1.38,479
ASB,FBP,0.8188,Financial Services,Banks - Regional,Banks - Regional,True,4.25,3.32,1.28,749
EVT,JTSSX,0.8188,Financial Services,Asset Management - Income,Asset Management,False,1.84,2.45,1.33,749
EFSC,TOWN,0.8188,Financial Services,Banks - Regional,Banks - Regional,True,2.11,2.56,1.22,749
EOS,QQQX,0.8188,Financial Services,Asset Management - Income,Asset Management,False,1.25,1.32,1.05,749
ABCB,LBAI,0.8188,Financial Services,Banks - Regional,Banks - Regional,True,5.08,1.14,4.47,334
FCF,ONB,0.8188,Financial Services,Banks - Regional,Banks - Regional,True,1.73,8.65,4.99,749
NBTB,TOWN,0.8187,Financial Services,Banks - Regional,Banks - Regional,True,2.25,2.56,1.14,749
AUB,SBCF,0.8187,Financial Services,Banks - Regional,Banks - Regional,True,5.0,2.77,1.8,749
ASB,CVBF,0.8187,Financial Services,Banks - Regional,Banks - Regional,True,4.25,2.56,1.66,749
PR,SM,0.8186,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,9.21,4.45,2.07,749
ATERX,VRMGX,0.8186,Financial Services,Asset Management - Global,Asset Management,False,6.52,9.25,1.42,300
CBU,IBOC,0.8186,Financial Services,Banks - Regional,Banks - Regional,True,3.22,3.93,1.22,749
FFIN,OCFC,0.8186,Financial Services,Banks - Regional,Banks - Regional,True,4.27,1.03,4.15,749
EFSC,HWC,0.8186,Financial Services,Banks - Regional,Banks - Regional,True,2.11,5.3,2.51,749
HBAN,HWC,0.8186,Financial Services,Banks - Regional,Banks - Regional,True,25.66,5.3,4.85,749
INDB,WSBC,0.8186,Financial Services,Banks - Regional,Banks - Regional,True,3.61,2.98,1.21,749
ABCB,EFSC,0.8186,Financial Services,Banks - Regional,Banks - Regional,True,5.08,2.11,2.41,749
KLTO,KLTOW,0.8186,Healthcare,Biotechnology,Biotechnology,True,1.08,1.08,1.0,361
BANR,CBU,0.8185,Financial Services,Banks - Regional,Banks - Regional,True,2.14,3.22,1.5,749
PEBO,WSFS,0.8185,Financial Services,Banks - Regional,Banks - Regional,True,1.05,3.0,2.86,749
CPE,SM,0.8184,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,2.1,4.45,2.12,295
STBA,STEL,0.8184,Financial Services,Banks - Regional,Banks - Regional,True,1.52,1.6,1.05,749
FBK,TRST,0.8184,Financial Services,Banks - Regional,Banks - Regional,True,2.97,1.02,2.9,749
BANR,WSBC,0.8184,Financial Services,Banks - Regional,Banks - Regional,True,2.14,2.98,1.39,749
TCBI,WBS,0.8184,Financial Services,Banks - Regional,Banks - Regional,True,4.08,10.09,2.47,749
FCF,SRCE,0.8184,Financial Services,Banks - Regional,Banks - Regional,True,1.73,1.52,1.14,749
NBHC,UCB,0.8183,Financial Services,Banks - Regional,Banks - Regional,True,1.45,3.8,2.62,749
PB,UCB,0.8183,Financial Services,Banks - Regional,Banks - Regional,True,6.53,3.8,1.72,749
BBT,FBNC,0.8183,Financial Services,Asset Management,Banks - Regional,False,2.31,2.1,1.1,749
NBTB,PPBI,0.8183,Financial Services,Banks - Regional,Banks - Regional,True,2.25,2.36,1.05,645
ADX,PTOAX,0.8183,Financial Services,Asset Management,Asset Management,True,2.4,1.34,1.8,749
SNV,SSB,0.8183,Financial Services,Banks - Regional,Banks - Regional,True,7.39,9.42,1.28,728
ONB,TOWN,0.8182,Financial Services,Banks - Regional,Banks - Regional,True,8.65,2.56,3.38,749
FFBC,STEL,0.8182,Financial Services,Banks - Regional,Banks - Regional,True,2.37,1.6,1.48,749
