symbol,event_date,split_ratio,category,window,stock_ret_pct,bench_ret_pct,car_pct
FORR,2000-02-08,2.0,2-for-1,21,58.5965,-0.2801,58.8766
FORR,2000-02-08,2.0,2-for-1,63,52.9824,0.2801,52.7023
FORR,2000-02-08,2.0,2-for-1,126,84.2106,5.7585,78.4521
FORR,2000-02-08,2.0,2-for-1,252,35.965,-3.6635,39.6284
MCHP,2000-02-08,1.5,other,-5,-11.3636,-2.347,-9.0166
MCHP,2000-02-08,1.5,other,1,0.0,0.0,0.0
MCHP,2000-02-08,1.5,other,5,0.6957,-0.1456,0.8413
MCHP,2000-02-08,1.5,other,21,44.3478,-0.2801,44.6279
MCHP,2000-02-08,1.5,other,63,15.1304,0.2801,14.8504
MCHP,2000-02-08,1.5,other,126,44.1739,5.7585,38.4155
MCHP,2000-02-08,1.5,other,252,-15.6522,-3.6635,-11.9887
MGIC,2000-02-14,3.0,3-for-1,-5,-14.7874,2.0536,-16.841
MGIC,2000-02-14,3.0,3-for-1,1,0.0,0.0,0.0
MGIC,2000-02-14,3.0,3-for-1,5,-1.2987,-4.3308,3.0321
MGIC,2000-02-14,3.0,3-for-1,21,-22.9128,-0.8976,-22.0152
MGIC,2000-02-14,3.0,3-for-1,63,-43.1354,3.2425,-46.3779
MGIC,2000-02-14,3.0,3-for-1,126,-66.6976,6.3391,-73.0366
MGIC,2000-02-14,3.0,3-for-1,252,-88.4045,-5.262,-83.1425
INFY,2000-02-15,2.0,2-for-1,-5,-17.1488,2.3,-19.4488
INFY,2000-02-15,2.0,2-for-1,1,0.0,0.0,0.0
INFY,2000-02-15,2.0,2-for-1,5,-1.94,-1.7536,-0.1864
INFY,2000-02-15,2.0,2-for-1,21,-11.2875,5.2835,-16.571
INFY,2000-02-15,2.0,2-for-1,63,-34.5679,5.7959,-40.3638
INFY,2000-02-15,2.0,2-for-1,126,-51.8519,7.8342,-59.6861
INFY,2000-02-15,2.0,2-for-1,252,-62.4339,-3.9968,-58.4371
SJR,2000-02-15,2.0,2-for-1,-5,-0.6897,2.3,-2.9897
SJR,2000-02-15,2.0,2-for-1,1,0.0,0.0,0.0
SJR,2000-02-15,2.0,2-for-1,5,-4.5603,-1.7536,-2.8067
SJR,2000-02-15,2.0,2-for-1,21,-3.9088,5.2835,-9.1923
SJR,2000-02-15,2.0,2-for-1,63,-20.8469,5.7959,-26.6429
SJR,2000-02-15,2.0,2-for-1,126,-20.5212,7.8342,-28.3554
SJR,2000-02-15,2.0,2-for-1,252,-27.0358,-3.9968,-23.039
HRL,2000-02-16,2.0,2-for-1,-5,6.4151,1.6397,4.7754
HRL,2000-02-16,2.0,2-for-1,1,0.0,0.0,0.0
HRL,2000-02-16,2.0,2-for-1,5,-3.7313,-3.2391,-0.4922
HRL,2000-02-16,2.0,2-for-1,21,-17.5373,6.524,-24.0613
HRL,2000-02-16,2.0,2-for-1,63,-9.7015,5.2306,-14.9321
HRL,2000-02-16,2.0,2-for-1,126,-10.0746,8.0005,-18.0751
HRL,2000-02-16,2.0,2-for-1,252,16.791,-2.5638,19.3549
DY,2000-02-17,1.5,other,-5,-19.6581,2.3692,-22.0274
DY,2000-02-17,1.5,other,1,0.0,0.0,0.0
DY,2000-02-17,1.5,other,5,7.5969,-1.4622,9.0591
DY,2000-02-17,1.5,other,21,16.5891,8.3168,8.2724
DY,2000-02-17,1.5,other,63,26.0465,6.223,19.8236
DY,2000-02-17,1.5,other,126,21.8605,11.5335,10.327
DY,2000-02-17,1.5,other,252,-56.614,-2.6202,-53.9938
SWKH,2000-02-23,2.0,2-for-1,-5,-7.4627,3.3032,-10.7659
SWKH,2000-02-23,2.0,2-for-1,1,0.0,0.0,0.0
SWKH,2000-02-23,2.0,2-for-1,5,-10.7993,3.4658,-14.2651
SWKH,2000-02-23,2.0,2-for-1,21,-31.9753,14.3719,-46.3472
SWKH,2000-02-23,2.0,2-for-1,63,-76.1722,3.3948,-79.567
SWKH,2000-02-23,2.0,2-for-1,126,-75.4036,12.8342,-88.2377
SWKH,2000-02-23,2.0,2-for-1,252,-98.04,-4.9917,-93.0482
TEVA,2000-02-23,2.0,2-for-1,-5,-7.4367,3.3032,-10.7399
TEVA,2000-02-23,2.0,2-for-1,1,0.0,0.0,0.0
TEVA,2000-02-23,2.0,2-for-1,5,15.5844,3.4658,12.1185
TEVA,2000-02-23,2.0,2-for-1,21,2.2727,14.3719,-12.0992
TEVA,2000-02-23,2.0,2-for-1,63,19.2893,3.3948,15.8944
TEVA,2000-02-23,2.0,2-for-1,126,67.7201,12.8342,54.886
TEVA,2000-02-23,2.0,2-for-1,252,52.3732,-4.9917,57.365
ESIO,2000-02-25,2.0,2-for-1,-5,-14.8855,3.7156,-18.601
ESIO,2000-02-25,2.0,2-for-1,1,0.0,0.0,0.0
ESIO,2000-02-25,2.0,2-for-1,5,7.6145,3.6744,3.9401
ESIO,2000-02-25,2.0,2-for-1,21,12.0455,11.907,0.1385
ESIO,2000-02-25,2.0,2-for-1,63,-15.4545,1.5233,-16.9778
ESIO,2000-02-25,2.0,2-for-1,126,-23.6364,11.7093,-35.3457
ESIO,2000-02-25,2.0,2-for-1,252,-43.1818,-5.2558,-37.926
MTCH,2000-02-25,2.0,2-for-1,-5,0.8039,3.7156,-2.9117
MTCH,2000-02-25,2.0,2-for-1,1,0.0,0.0,0.0
MTCH,2000-02-25,2.0,2-for-1,5,1.2411,3.6744,-2.4333
MTCH,2000-02-25,2.0,2-for-1,21,7.0922,11.907,-4.8148
MTCH,2000-02-25,2.0,2-for-1,63,-12.5887,1.5233,-14.1119
MTCH,2000-02-25,2.0,2-for-1,126,15.0709,11.7093,3.3616
MTCH,2000-02-25,2.0,2-for-1,252,6.5603,-5.2558,11.8161
MGM,2000-02-28,2.0,2-for-1,-5,4.4891,-0.593,5.0822
MGM,2000-02-28,2.0,2-for-1,1,0.0,0.0,0.0
MGM,2000-02-28,2.0,2-for-1,5,-1.8868,1.6814,-3.5683
MGM,2000-02-28,2.0,2-for-1,21,10.3774,10.1923,0.185
MGM,2000-02-28,2.0,2-for-1,63,67.6101,0.668,66.9421
MGM,2000-02-28,2.0,2-for-1,126,69.4968,10.5954,58.9014
MGM,2000-02-28,2.0,2-for-1,252,35.0357,-7.0252,42.0609
JKHY,2000-03-03,2.0,2-for-1,-5,-9.168,-5.5182,-3.6498
JKHY,2000-03-03,2.0,2-for-1,1,0.0,0.0,0.0
JKHY,2000-03-03,2.0,2-for-1,5,11.2221,0.2718,10.9503
JKHY,2000-03-03,2.0,2-for-1,21,-0.1537,8.5061,-8.6598
JKHY,2000-03-03,2.0,2-for-1,63,38.2014,6.0709,32.1305
JKHY,2000-03-03,2.0,2-for-1,126,26.2875,9.5481,16.7394
JKHY,2000-03-03,2.0,2-for-1,252,34.2045,-9.7973,44.0017
CTAS,2000-03-08,1.5,other,-5,1.8256,1.1448,0.6808
CTAS,2000-03-08,1.5,other,1,0.0,0.0,0.0
CTAS,2000-03-08,1.5,other,5,9.7416,-0.764,10.5055
CTAS,2000-03-08,1.5,other,21,38.171,7.0891,31.0819
CTAS,2000-03-08,1.5,other,63,64.4135,4.9545,59.459
CTAS,2000-03-08,1.5,other,126,55.8648,6.6846,49.1802
CTAS,2000-03-08,1.5,other,252,36.7793,-8.8192,45.5986
VIAV,2000-03-13,2.0,2-for-1,-5,10.7463,0.8337,9.9126
VIAV,2000-03-13,2.0,2-for-1,1,0.0,0.0,0.0
VIAV,2000-03-13,2.0,2-for-1,5,-2.9,7.2753,-10.1752
VIAV,2000-03-13,2.0,2-for-1,21,-18.25,10.3684,-28.6184
VIAV,2000-03-13,2.0,2-for-1,63,-7.55,6.3137,-13.8637
VIAV,2000-03-13,2.0,2-for-1,126,-12.2,10.0324,-22.2324
VIAV,2000-03-13,2.0,2-for-1,252,-80.45,-11.2257,-69.2243
OVLY,2000-03-15,1.5,other,-5,0.0,-2.0944,2.0944
OVLY,2000-03-15,1.5,other,1,0.0,0.0,0.0
OVLY,2000-03-15,1.5,other,21,-4.6083,-1.1789,-3.4294
OVLY,2000-03-15,1.5,other,63,-0.9217,1.287,-2.2087
OVLY,2000-03-15,1.5,other,126,11.0599,2.2388,8.8211
ADI,2000-03-16,2.0,2-for-1,-5,13.2834,-3.7313,17.0147
ADI,2000-03-16,2.0,2-for-1,1,0.0,0.0,0.0
ADI,2000-03-16,2.0,2-for-1,5,16.2072,3.8895,12.3176
ADI,2000-03-16,2.0,2-for-1,21,-24.7285,-7.446,-17.2825
ADI,2000-03-16,2.0,2-for-1,63,12.3434,0.8273,11.516
ADI,2000-03-16,2.0,2-for-1,126,19.34,2.0845,17.2556
ADI,2000-03-16,2.0,2-for-1,252,-49.1437,-20.8875,-28.2562
AJG,2000-03-16,2.0,2-for-1,-5,-25.8278,-3.7313,-22.0965
AJG,2000-03-16,2.0,2-for-1,1,0.0,0.0,0.0
AJG,2000-03-16,2.0,2-for-1,5,-0.5556,3.8895,-4.4451
AJG,2000-03-16,2.0,2-for-1,21,6.5278,-7.446,13.9738
AJG,2000-03-16,2.0,2-for-1,63,26.3889,0.8273,25.5616
AJG,2000-03-16,2.0,2-for-1,126,79.4444,2.0845,77.36
AJG,2000-03-16,2.0,2-for-1,252,82.2222,-20.8875,103.1097
AMAT,2000-03-16,2.0,2-for-1,-5,8.2312,-3.7313,11.9626
AMAT,2000-03-16,2.0,2-for-1,1,0.0,0.0,0.0
AMAT,2000-03-16,2.0,2-for-1,5,6.8588,3.8895,2.9692
AMAT,2000-03-16,2.0,2-for-1,21,-16.196,-7.446,-8.75
AMAT,2000-03-16,2.0,2-for-1,63,-7.7233,0.8273,-8.5507
AMAT,2000-03-16,2.0,2-for-1,126,-21.8156,2.0845,-23.9
AMAT,2000-03-16,2.0,2-for-1,252,-53.8329,-20.8875,-32.9453
CTSH,2000-03-17,2.0,2-for-1,-5,9.1346,-4.878,14.0127
CTSH,2000-03-17,2.0,2-for-1,1,0.0,0.0,0.0
CTSH,2000-03-17,2.0,2-for-1,5,17.1429,5.0432,12.0997
CTSH,2000-03-17,2.0,2-for-1,21,-36.6667,-3.7257,-32.941
CTSH,2000-03-17,2.0,2-for-1,63,-16.6667,0.5076,-17.1742
CTSH,2000-03-17,2.0,2-for-1,126,-33.8095,0.3564,-34.1659
CTSH,2000-03-17,2.0,2-for-1,252,-38.5714,-18.8769,-19.6945
LRCX,2000-03-17,3.0,3-for-1,-5,10.5012,-4.878,15.3792
LRCX,2000-03-17,3.0,3-for-1,1,0.0,0.0,0.0
LRCX,2000-03-17,3.0,3-for-1,5,11.271,5.0432,6.2278
LRCX,2000-03-17,3.0,3-for-1,21,-11.9904,-3.7257,-8.2647
LRCX,2000-03-17,3.0,3-for-1,63,-18.705,0.5076,-19.2126
LRCX,2000-03-17,3.0,3-for-1,126,-51.0791,0.3564,-51.4355
LRCX,2000-03-17,3.0,3-for-1,252,-50.3597,-18.8769,-31.4828
QQQ,2000-03-20,2.0,2-for-1,-5,3.6666,-5.4428,9.1094
QQQ,2000-03-20,2.0,2-for-1,1,0.0,0.0,0.0
QQQ,2000-03-20,2.0,2-for-1,5,5.2531,1.8413,3.4119
QQQ,2000-03-20,2.0,2-for-1,21,-17.7187,-3.164,-14.5547
QQQ,2000-03-20,2.0,2-for-1,63,-12.2749,-0.254,-12.021
QQQ,2000-03-20,2.0,2-for-1,126,-19.4556,-2.5714,-16.8842
QQQ,2000-03-20,2.0,2-for-1,252,-63.8106,-22.6349,-41.1757
SFE,2000-03-20,3.0,3-for-1,-5,-6.3005,-5.4428,-0.8578
