symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
4091.T,2022-07-01,2,0,upgrade_small,0.016075,-0.006367,0.022441,0.050121,-0.000995,0.051116,0.127187,0.051731,0.075456,0.086976,-0.079188,0.166164
4204.T,2022-07-01,4,0,upgrade_medium,0.002742,-0.006367,0.009109,0.047151,-0.000995,0.048146,0.017545,0.051731,-0.034186,-0.014484,-0.079188,0.064704
4507.T,2022-07-01,9,0,upgrade_large,0.037132,-0.006367,0.043499,0.071437,-0.000995,0.072431,0.005347,0.051731,-0.046384,0.047209,-0.079188,0.126397
4536.T,2022-07-01,5,1,upgrade_large,-0.001894,-0.006367,0.004473,0.046448,-0.000995,0.047443,-0.012313,0.051731,-0.064044,-0.060323,-0.079188,0.018865
4768.T,2022-07-01,6,1,upgrade_large,0.009899,-0.006367,0.016266,0.024754,-0.000995,0.025749,0.199258,0.051731,0.147527,0.120052,-0.079188,0.19924
4922.T,2022-07-01,9,0,upgrade_large,0.023217,-0.006367,0.029584,0.044776,-0.000995,0.045771,-0.025704,0.051731,-0.077435,0.235489,-0.079188,0.314678
4967.T,2022-07-01,0,2,downgrade_cluster,0.036949,-0.006367,0.043316,0.078666,-0.000995,0.07966,0.032181,0.051731,-0.01955,0.010727,-0.079188,0.089915
4974.T,2022-07-01,5,0,upgrade_large,0.008954,-0.006367,0.015321,0.045286,-0.000995,0.046281,0.111112,0.051731,0.059381,-0.104263,-0.079188,-0.025075
5105.T,2022-07-01,9,0,upgrade_large,0.021279,-0.006367,0.027646,0.073559,-0.000995,0.074553,0.085108,0.051731,0.033377,-0.045592,-0.079188,0.033596
5108.T,2022-07-01,10,0,upgrade_large,0.015175,-0.006367,0.021542,0.061749,-0.000995,0.062744,0.106639,0.051731,0.054908,-0.016016,-0.079188,0.063173
4188.T,2022-07-01,9,1,upgrade_large,0.010849,-0.006367,0.017216,0.032532,-0.000995,0.033527,0.022513,0.051731,-0.029218,-0.071029,-0.079188,0.008159
7988.T,2022-07-01,6,0,upgrade_large,0.0,-0.006367,0.006367,0.052884,-0.000995,0.053879,-0.008014,0.051731,-0.059745,-0.026999,-0.079188,0.052189
8595.T,2022-07-01,2,0,upgrade_small,0.024117,-0.006367,0.030484,0.06741,-0.000995,0.068405,0.172543,0.051731,0.120812,0.316636,-0.079188,0.395824
8968.T,2022-07-01,2,0,upgrade_small,0.006013,-0.006367,0.01238,-0.003007,-0.000995,-0.002012,0.033674,0.051731,-0.018057,0.035746,-0.079188,0.114934
9003.T,2022-07-01,2,0,upgrade_small,0.000858,-0.006367,0.007224,-0.001286,-0.000995,-0.000291,0.044965,0.051731,-0.006766,0.03098,-0.079188,0.110168
9048.T,2022-07-01,2,0,upgrade_small,-0.012441,-0.006367,-0.006074,-0.006698,-0.000995,-0.005703,0.048803,0.051731,-0.002928,0.064113,-0.079188,0.143301
9983.T,2022-07-01,8,0,upgrade_large,0.030041,-0.006367,0.036408,0.009672,-0.000995,0.010667,0.181125,0.051731,0.129394,0.12877,-0.079188,0.207958
6586.T,2022-07-01,4,2,upgrade_medium,0.039754,-0.006367,0.046121,0.051988,-0.000995,0.052982,-0.024467,0.051731,-0.076198,-0.141011,-0.079188,-0.061823
4042.T,2022-07-01,7,1,upgrade_large,0.01124,-0.006367,0.017607,0.021893,-0.000995,0.022887,0.015975,0.051731,-0.035756,-0.023256,-0.079188,0.055932
4062.T,2022-07-01,0,8,downgrade_cluster,0.00401,-0.006367,0.010377,0.03877,-0.000995,0.039765,0.069518,0.051731,0.017787,0.061336,-0.079188,0.140524
