symbol,event_date,upgrade_delta,downgrade_delta,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
EYE,2020-05-01,7,0,upgrade_large,-0.004839,0.002754,-0.007593,0.064919,0.03412,0.030799,0.102823,0.089431,0.013391,0.289919,0.159737,0.130183
KBH,2020-05-01,9,-10,upgrade_large,0.025597,0.002754,0.022842,0.137527,0.03412,0.103407,0.39436,0.089431,0.304929,0.340998,0.159737,0.181261
KEP,2020-05-01,-4,5,downgrade_cluster,0.006543,0.002754,0.003789,-0.008724,0.03412,-0.042844,-0.019629,0.089431,-0.10906,-0.146129,0.159737,-0.305866
KLAC,2020-05-01,5,-1,upgrade_large,0.011526,0.002754,0.008772,0.141302,0.03412,0.107182,0.185557,0.089431,0.096126,0.33625,0.159737,0.176514
NXST,2020-05-01,2,0,upgrade_small,-0.032235,0.002754,-0.034989,0.176397,0.03412,0.142277,0.321275,0.089431,0.231844,0.327006,0.159737,0.167269
ON,2020-05-01,-5,2,downgrade_cluster,-0.016534,0.002754,-0.019288,0.132275,0.03412,0.098155,0.133598,0.089431,0.044167,0.362434,0.159737,0.202697
PENN,2020-05-01,3,0,upgrade_medium,0.004504,0.002754,0.00175,0.185972,0.03412,0.151852,1.010296,0.089431,0.920865,1.17825,0.159737,1.018513
PKG,2020-05-01,-7,7,downgrade_cluster,0.010841,0.002754,0.008087,0.035763,0.03412,0.001643,0.085607,0.089431,-0.003824,0.022679,0.159737,-0.137058
TBPH,2020-05-01,2,-1,upgrade_small,-0.005047,0.002754,-0.007801,0.04972,0.03412,0.0156,-0.00785,0.089431,-0.097282,-0.274019,0.159737,-0.433756
TCMD,2020-05-01,2,0,upgrade_small,-0.001642,0.002754,-0.004396,0.03243,0.03412,-0.00169,-0.002668,0.089431,-0.0921,-0.158867,0.159737,-0.318604
TCOM,2020-05-01,2,0,upgrade_small,-0.00499,0.002754,-0.007744,0.039917,0.03412,0.005797,0.103119,0.089431,0.013687,0.125988,0.159737,-0.033749
TNDM,2020-05-01,6,-1,upgrade_large,0.023809,0.002754,0.021055,0.094241,0.03412,0.060121,0.026552,0.089431,-0.062879,0.302169,0.159737,0.142432
USNA,2020-05-01,-7,3,downgrade_cluster,0.011002,0.002754,0.008248,0.040932,0.03412,0.006812,-0.008163,0.089431,-0.097594,-0.039631,0.159737,-0.199368
ADUS,2020-05-01,2,0,upgrade_small,-0.081168,0.002754,-0.083922,0.026849,0.03412,-0.007271,0.229708,0.089431,0.140277,0.198384,0.159737,0.038647
CL,2020-05-01,4,3,upgrade_medium,0.013949,0.002754,0.011195,0.012288,0.03412,-0.021832,0.057124,0.089431,-0.032307,0.133178,0.159737,-0.026558
CME,2020-05-01,0,3,downgrade_cluster,-0.006271,0.002754,-0.009025,0.045396,0.03412,0.011276,0.029504,0.089431,-0.059927,-0.038769,0.159737,-0.198505
CNS,2020-05-01,-5,5,downgrade_cluster,0.009717,0.002754,0.006963,0.127402,0.03412,0.093282,0.190672,0.089431,0.10124,0.068668,0.159737,-0.091069
CPA,2020-05-01,5,-1,upgrade_large,0.046094,0.002754,0.04334,0.022633,0.03412,-0.011487,0.135799,0.089431,0.046368,-0.027049,0.159737,-0.186786
CTVA,2020-05-01,2,-1,upgrade_small,-0.002523,0.002754,-0.005277,0.019344,0.03412,-0.014776,0.10513,0.089431,0.015699,0.126577,0.159737,-0.03316
FIS,2020-05-01,3,0,upgrade_medium,-0.005537,0.002754,-0.008291,-0.008219,0.03412,-0.042339,0.074753,0.089431,-0.014678,0.134452,0.159737,-0.025285
GEF,2020-05-01,-5,7,downgrade_cluster,-0.037251,0.002754,-0.040005,-0.081736,0.03412,-0.115856,0.019168,0.089431,-0.070263,0.05859,0.159737,-0.101147
GHG,2020-05-01,5,0,upgrade_large,-0.001978,0.002754,-0.004732,0.029674,0.03412,-0.004446,0.098912,0.089431,0.009481,0.023739,0.159737,-0.135998
GKOS,2020-05-01,-5,2,downgrade_cluster,-0.035156,0.002754,-0.03791,0.113281,0.03412,0.079161,0.149833,0.089431,0.060401,0.219308,0.159737,0.059571
GLMD,2020-05-01,6,0,upgrade_large,0.019847,0.002754,0.017093,0.079403,0.03412,0.045282,0.312645,0.089431,0.223214,0.203465,0.159737,0.043728
GNL,2020-05-01,6,-5,upgrade_large,-0.029494,0.002754,-0.032248,0.029494,0.03412,-0.004626,0.051966,0.089431,-0.037465,0.241573,0.159737,0.081836
HAS,2020-05-01,2,-1,upgrade_small,0.004882,0.002754,0.002127,0.014102,0.03412,-0.020018,0.066715,0.089431,-0.022716,0.068523,0.159737,-0.091214
MAC,2020-05-01,-5,9,downgrade_cluster,0.032197,0.002754,0.029443,0.0,0.03412,-0.03412,0.098485,0.089431,0.009054,0.113636,0.159737,-0.0461
MAIN,2020-05-01,5,-5,upgrade_large,-0.035431,0.002754,-0.038185,0.080024,0.03412,0.045904,0.29383,0.089431,0.204399,0.240073,0.159737,0.080336
MCD,2020-05-01,2,0,upgrade_small,-0.004313,0.002754,-0.007067,-0.007813,0.03412,-0.041933,0.033877,0.089431,-0.055554,0.070754,0.159737,-0.088982
MKL,2020-05-01,2,0,upgrade_small,-0.0135,0.002754,-0.016254,0.042718,0.03412,0.008598,0.115924,0.089431,0.026493,0.252326,0.159737,0.092589
MPW,2020-05-01,4,-3,upgrade_medium,-0.008341,0.002754,-0.011095,0.073216,0.03412,0.039096,0.113994,0.089431,0.024563,0.223355,0.159737,0.063618
MPWR,2020-05-01,3,0,upgrade_medium,0.004075,0.002754,0.001321,0.117854,0.03412,0.083734,0.161251,0.089431,0.07182,0.405331,0.159737,0.245594
MRVL,2020-05-01,9,-1,upgrade_large,0.010467,0.002754,0.007713,0.055556,0.03412,0.021436,0.360709,0.089431,0.271277,0.43599,0.159737,0.276254
PEGA,2020-05-01,3,0,upgrade_medium,0.02361,0.002754,0.020856,0.131252,0.03412,0.097132,0.227723,0.089431,0.138292,0.469662,0.159737,0.309926
PG,2020-05-01,2,1,upgrade_small,-0.008933,0.002754,-0.011687,-0.00746,0.03412,-0.041581,0.010602,0.089431,-0.078829,0.129577,0.159737,-0.03016
TRV,2020-05-01,-4,8,downgrade_cluster,0.008894,0.002754,0.00614,0.013458,0.03412,-0.020662,0.155647,0.089431,0.066215,0.199181,0.159737,0.039444
TTEC,2020-05-01,5,0,upgrade_large,0.02183,0.002754,0.019076,0.091507,0.03412,0.057387,0.151914,0.089431,0.062483,0.280502,0.159737,0.120766
AGIO,2020-05-01,3,0,upgrade_medium,0.037557,0.002754,0.034803,0.070251,0.03412,0.036131,0.412861,0.089431,0.32343,0.224534,0.159737,0.064797
