symbol,event_date,action,magnitude,mag_label,cluster_status,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
BNS.TO,2012-05-30,upgrade,2,small,single,upgrade_single,0.015116,0.002118,0.012998,0.000472,0.019587,-0.019115,0.012754,0.001588,0.011166,0.028814,0.100582,-0.071768
CNR.TO,2012-06-21,downgrade,2,small,single,downgrade,0.001183,0.006864,-0.00568,0.005917,-0.001056,0.006973,0.012722,0.024815,-0.012093,0.023964,0.153643,-0.129679
CNR.TO,2012-06-22,downgrade,2,small,single,downgrade,-0.007683,-0.014683,0.007,0.002955,0.0215,-0.018545,0.016844,0.007341,0.009503,0.006206,0.141584,-0.135378
MX.TO,2012-06-25,downgrade,2,small,single,downgrade,-0.04381,0.005854,-0.049664,None,None,None,0.048571,0.029271,0.019301,-0.01,0.15008,-0.16008
CNR.TO,2012-06-25,downgrade,2,small,single,downgrade,0.002085,0.005854,-0.00377,None,None,None,0.019059,0.029271,-0.010212,0.030673,0.15008,-0.119407
MX.TO,2012-06-26,downgrade,2,small,single,downgrade,0.048805,0.006878,0.041926,0.085159,0.060847,0.024313,0.066733,0.042328,0.024405,0.005976,0.133862,-0.127886
CNR.TO,2012-06-26,downgrade,2,small,single,downgrade,0.003863,0.006878,-0.003015,0.015453,0.060847,-0.045393,0.03893,0.042328,-0.003398,0.032392,0.133862,-0.10147
CP.TO,2012-06-27,downgrade,2,small,single,downgrade,0.01007,-0.00578,0.01585,0.041053,0.049396,-0.008342,0.142525,0.050972,0.091553,0.13323,0.121387,0.011843
CVE.TO,2012-06-28,upgrade,2,small,single,upgrade_single,0.032708,0.029598,0.00311,0.052769,0.034355,0.018414,-0.006106,0.059725,-0.065831,0.103358,0.143763,-0.040405
CNR.TO,2012-07-03,downgrade,2,small,single,downgrade,-0.012584,-0.00399,-0.008594,0.000878,-0.033915,0.034793,0.004097,-0.025935,0.030032,0.013169,0.080299,-0.06713
PAAS.TO,2012-07-08,downgrade,2,small,single,downgrade,-0.035205,-0.01332,-0.021886,-0.041073,-0.005123,-0.03595,0.01425,0.040471,-0.026222,0.406538,0.116291,0.290247
PAAS.TO,2012-07-09,downgrade,2,small,single,downgrade,-0.035205,-0.01332,-0.021886,-0.041073,-0.005123,-0.03595,0.01425,0.040471,-0.026222,0.406538,0.116291,0.290247
ERF.TO,2012-07-10,upgrade,2,small,single,upgrade_single,0.066279,0.005711,0.060568,0.059302,0.014538,0.044764,0.137209,0.050883,0.086327,None,None,None
