rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,holdings
2007-10-01,2008-01-01,-0.016247,-0.055792,20,AWI,UZA,DD,FMX,ELPC,RVT,BX,EAI,BCO,A,HGH,IFN,ITT,MO,OVV,MRO,HBM,EMP,CAM,NE,DNP,ENO,ENJ,APO,ENH,BMA,WFG,RZA,AXS,VLO
2008-01-01,2008-04-01,-0.058323,-0.052652,20,AWI,UZA,DD,FMX,ELPC,RVT,BX,EAI,BCO,HGH,IFN,ITT,MO,OVV,MRO,HBM,EMP,CAM,NE,DNP,GIM,ENJ,ENO,APO,ENH,BMA,WFG,RZA,AXS,VLO
2008-04-01,2008-07-01,-0.027701,-0.055578,24,DUKB,FMX,UZA,IFN,ELPC,PRI,DD,TT,ITT,HGH,BX,DAL,NM,TGNA,RVT,MDU,MTW,CAM,GIM,TNL,CYD,SPXC,WRB,MO,ENH,AXS,TRN,CNI,CEF,NE
2008-07-01,2008-10-01,-0.124592,-0.090743,23,DUKB,FMX,UZA,IFN,ELPC,PRI,DD,TT,ITT,HGH,BX,DAL,NM,TGNA,RVT,MDU,MTW,GIM,TNL,CYD,SPXC,WRB,MO,ENH,AXS,TRN,CNI,CEF,NE,CIXX
2008-10-01,2009-01-01,-0.189513,-0.192512,24,DUKB,FMX,UZA,IFN,ELPC,DRD,PRI,DD,TT,ITT,HGH,BX,DAL,NM,TGNA,RVT,MDU,MTW,GIM,TNL,CYD,SPXC,WRB,MO,ENH,AXS,TRN,CNI,CEF,NE
2009-01-01,2009-04-01,-0.194973,-0.121837,24,DUKB,FMX,UZA,IFN,ELPC,DRD,PRI,DD,TT,ITT,HGH,BX,DAL,NM,TGNA,RVT,MDU,MTW,GIM,TNL,CYD,SPXC,WRB,MO,ENH,HPQ,AXS,TRN,CNI,NE
2009-04-01,2009-07-01,0.274473,0.14557,26,MHNC,ACH,UZA,ITT,X,DRD,TX,GLW,ELPC,L,RS,EBR-B,OVV,FTI,MRO,RIG,CF,TNH,MUR,NE,ICL,ATI,MT,NOV,VALE,GIM,WMB,PBR-A,DFS,AET
2009-07-01,2009-10-01,0.133338,0.120529,26,MHNC,ACH,UZA,ITT,X,DRD,TX,DXC,GLW,ELPC,L,RS,EBR-B,OVV,FTI,MRO,RIG,CF,TNH,MUR,NE,ICL,ATI,MT,NOV,VALE,GIM,WMB,PBR-A,DFS
2009-10-01,2010-01-01,0.190158,0.106527,26,MHNC,ACH,UZA,ITT,X,TX,DXC,GLW,ELPC,L,RS,EBR-B,OVV,FTI,MRO,RIG,CF,TNH,MUR,NE,ICL,ATI,MT,NOV,VALE,GIM,WMB,PBR-A,DFS,AET
2010-01-01,2010-04-01,0.019965,0.043738,26,MHNC,ACH,UZA,ITT,X,TX,DXC,GLW,GIM,ELPC,L,RS,CEF,EBR-B,OVV,FTI,MRO,RIG,CF,TNH,MUR,NE,ICL,ATI,MT,NOV,VALE,WMB,PBR-A,DFS
2010-04-01,2010-07-01,-0.072224,-0.123582,20,GM,UZA,IFN,FMX,BMA,EAI,DXC,ITT,GIM,PRI,LEA,CEF,PRS,RNR,KYN,NE,EMP,ENJ,ENO,ENH,BMY,NLY,EFM,RZA,EMQ,CSC,MCY,BBAR,AET,TNL
2010-07-01,2010-10-01,0.135837,0.121395,21,GM,UZA,IFN,FMX,BMA,EAI,ITT,GIM,PRI,LEA,CEF,EVV,IGD,PRS,RNR,KYN,NE,EMP,ENO,ENJ,ENH,BMY,NLY,EFM,RZA,EMQ,DXC,MCY,BBAR,AET
2010-10-01,2011-01-01,0.093873,0.114312,21,GM,UZA,IFN,FMX,BMA,EAI,ITT,GIM,PRI,LEA,CEF,EVV,IGD,PRS,RNR,KYN,NE,EMP,ENJ,ENO,ENH,BMY,NLY,EFM,RZA,EMQ,DXC,MCY,BBAR,AET
2011-01-01,2011-04-01,0.006811,0.052524,22,GM,UZA,IFN,FMX,BMA,EAI,ITT,GIM,PRI,LEA,OSK,EVV,IGD,PRS,RNR,KYN,NE,EMP,ENJ,ENO,ENH,CEF,BMY,NLY,EDD,EFM,RZA,EMQ,DXC,HPQ
2011-04-01,2011-07-01,-0.014698,0.010819,24,FMX,RFP,LYB,UZA,ITT,GIM,BMA,OSK,JEF,EVV,RZA,IGD,AET,BG,KYN,MGR,OC,CEF,SKM,RNR,EDD,FNF,IFN,DXC,ENH,AXS,HPQ,GGN,AFGB,AFGC
2011-07-01,2011-10-01,-0.254315,-0.174911,21,FMX,RFP,LYB,UZA,ITT,GIM,BMA,OSK,JEF,RZA,AET,BG,KYN,MGR,OC,CEF,SKM,RNR,EDD,FNF,IFN,ENH,AXS,HPQ,GGN,AFGB,AFGC,AFGD,BEPH,BEPI
2011-10-01,2012-01-01,0.175875,0.167232,22,FMX,RFP,LYB,UZA,ITT,GIM,BMA,OSK,JEF,RZA,AET,BG,KYN,MGR,OC,CEF,SKM,RNR,EDD,FNF,IFN,ENH,AXS,HPQ,GGN,AFGB,AFGC,AFGD,BEP,BEPH
2012-01-01,2012-04-01,0.098268,0.117341,21,FMX,RFP,LYB,UZA,ITT,BMA,JEF,RZA,HPQ,AET,BG,KYN,MGR,ASH,CEF,OC,SKM,RNR,GIM,FNF,IFN,ENH,AXS,OSK,GGN,AFGB,AFGC,AFGD,BEPI,BEPH
2012-04-01,2012-07-01,-0.040661,-0.032616,27,BMA,AIG,UZA,DD,DDT,AGO,GM,HFC,MGR,TGNA,HPQ,DINO,SKM,CVI,CYS,BBAR,GNRC,AET,ASH,CYD,IVR,CEF,WTM,PSX,MET,GIM,VALE,MPC,VLO,OSK
2012-07-01,2012-10-01,0.11573,0.063079,27,BMA,AIG,UZA,DD,DDT,AGO,GM,HFC,MGR,TGNA,HPQ,DINO,SKM,CVI,CYS,BBAR,GNRC,AET,ASH,CYD,IVR,CEF,CSAN,WTM,PSX,MET,GIM,VALE,MPC,VLO
2012-10-01,2013-01-01,0.120785,0.018995,27,BMA,FMD,AIG,UZA,DD,DDT,AGO,GM,HFC,MGR,TGNA,HPQ,DINO,SKM,CVI,CYS,BBAR,GNRC,AET,ASH,CYD,IVR,CEF,CSAN,WTM,PSX,MET,GIM,VALE,MPC
2013-01-01,2013-04-01,0.041168,0.073194,27,BMA,FMD,AIG,UZA,DD,DDT,AGO,GM,HFC,MGR,TGNA,DINO,SKM,CVI,CYS,BBAR,GNRC,AET,CYD,IVR,CSAN,WTM,PSX,MET,VALE,MPC,VLO,BP,DDS,CLF
2013-04-01,2013-07-01,0.010169,0.039519,22,BMA,FMD,TROX,UZA,SNV,TY,MTB-PJ,BBAR,CC,LEA,DDT,TEO,CIG,CSAN,UTF,IGR,RQI,AET,OIS,AFGB,AFGC,FNF,TGNA,AFGD,AFGE,LDOS,FTI,HFC,DK,DINO
2013-07-01,2013-10-01,0.108357,0.054572,23,BMA,FMD,TROX,UZA,SNV,TY,MTB-PJ,BBAR,CC,LEA,DDT,DXC,OA,TEO,CIG,UTF,IGR,RQI,AET,OIS,AFGB,AFGC,FNF,TGNA,AFGD,AFGE,LDOS,FTI,HFC,DK
2013-10-01,2014-01-01,0.066469,0.086053,23,BMA,TROX,UZA,SNV,TY,MTB-PJ,BBAR,CC,LEA,DDT,DXC,OA,TEO,CIG,UTF,IGR,RQI,AET,OIS,AFGB,AFGC,FNF,TGNA,AFGD,AFGE,LDOS,FTI,HFC,DK,DINO
2014-01-01,2014-04-01,0.079246,0.033661,22,BMA,TROX,UZA,SNV,TY,MTB-PJ,BBAR,CC,LEA,DDT,DXC,OA,TEO,HPQ,ETG,CIG,UTF,IGR,RQI,AET,OIS,AFGB,AFGC,FNF,TGNA,AFGD,ASH,AFGE,LDOS,RY-PT
2014-04-01,2014-07-01,0.061721,0.051664,25,BMA,VAL,UZA,DD,DAL,NLY,PHM,MTB-PJ,RVT,GDV,USA,GAM,GAB,DDT,SBSW,MGR,ADX,NOAH,UCB,DXC,OA,TY,BBAR,FBC,HPQ,ETG,EVHC,CIG,TWO,CIMN
2014-07-01,2014-10-01,-0.047045,-0.008988,25,BMA,VAL,UZA,DD,DAL,NLY,PHM,MTB-PJ,RVT,GDV,USA,GAM,GAB,DDT,SBSW,MGR,ADX,NOAH,UCB,TY,BBAR,FBC,HPQ,ETG,EVHC,CIG,TWO,CIMN,KYN,UTF
2014-10-01,2015-01-01,0.076404,0.062803,25,BMA,VAL,UZA,DD,DAL,NLY,PHM,MTB-PJ,RVT,GDV,USA,GAM,GAB,DDT,SBSW,MGR,ADX,NOAH,UCB,TY,BBAR,FBC,HPQ,ETG,EVHC,CIG,BTT,TWO,CIMN,KYN
2015-01-01,2015-04-01,0.053239,0.005786,24,BMA,VAL,UZA,DD,DAL,NLY,PHM,MTB-PJ,RVT,GDV,USA,GAM,GAB,CNR,DDT,SBSW,GIM,MGR,ADX,NOAH,UCB,TY,BBAR,FBC,EVHC,EVT,CIG,BTT,TWO,CIMN
2015-04-01,2015-07-01,-0.043198,0.013656,26,RCA,BMA,CBD,GHC,FMX,DD,OVV,FBP,NOAH,MGR,RDN,RQI,CARS,CYS,DDT,CNR,GIM,AGO,JOE,MIC,EVT,BTT,VOYA,HQH,TNH,DNP,CFX,RY-PT,IGR,NFX
2015-07-01,2015-10-01,-0.120878,-0.069254,26,RCA,BMA,CBD,GHC,FMX,DD,OVV,FBP,NOAH,MGR,RDN,RQI,CARS,CYS,DDT,CNR,GIM,AGO,JOE,MIC,EVT,BTT,VOYA,HQH,TNH,DNP,CFX,RY-PT,IGR,NFX
2015-10-01,2016-01-01,0.002424,0.052541,26,RCA,BMA,CBD,GHC,FMX,DD,OVV,FBP,NOAH,MGR,RDN,RQI,CARS,CYS,DDT,CNR,GIM,AGO,JOE,MIC,EVT,VOYA,HQH,TNH,DNP,CFX,RY-PT,IGR,MSGN,NFX
2016-01-01,2016-04-01,0.029964,0.034644,27,RCA,BMA,CBD,GHC,FMX,DD,OVV,FBP,NOAH,MGR,RDN,RQI,CARS,CYS,DDT,AGO,JOE,MIC,VOYA,HPQ,HQH,TNH,CFX,IGR,RY-PT,MSGN,NFX,AHL,UTF,UFS
2016-04-01,2016-07-01,0.006481,0.01974,24,BMA,DD,PRH,PRS,KEP,MTG,MGR,FMX,TRN,AGO,NOAH,HPQ,KCG,RY-PT,YRD,MSGN,LAZ,GBX,EURN,TNH,AR,PRU,PFH,GME,UNMA,TPL,NTI,PSO,SHO,MFA
2016-07-01,2016-10-01,0.122463,0.033113,24,BMA,DD,PRH,PRS,KEP,MTG,MGR,FMX,TRN,AGO,NOAH,HPQ,KCG,RY-PT,YRD,MSGN,LAZ,GBX,EURN,TNH,AR,PFH,PRU,GME,UNMA,TPL,NTI,PSO,SHO,MFA
2016-10-01,2017-01-01,0.032493,0.050038,24,BMA,DD,PRH,PRS,KEP,MTG,MGR,FMX,TRN,AGO,NOAH,HPQ,KCG,RY-PT,YRD,LAZ,BBN,GBX,EURN,TNH,AR,PFH,PRU,BTT,GME,UNMA,TPL,NTI,PSO,SHO
2017-01-01,2017-04-01,0.046215,0.04934,24,BMA,DD,PRH,PRS,KEP,MTG,MGR,FMX,TRN,AGO,NOAH,KCG,YRD,LAZ,BBN,EURN,TNH,UTG,AR,PFH,PRU,BTT,DNP,DSL,HPE,GME,UNMA,TPL,NTI,PSO
2017-04-01,2017-07-01,0.07246,0.034254,22,VST,BMA,ARCH,MGR,VAL,FMX,NOAH,DD,AFGB,AFGC,AFGD,AFGE,YRD,RVT,KCG,BAX,TEO,KYN,MODG,CALY,ELY,EQR,NFJ,AGO,SKM,BBN,EURN,GAB,UTG,UNMA
2017-07-01,2017-10-01,0.084873,0.046876,22,VST,BMA,ARCH,MGR,VAL,FMX,NOAH,DD,AFGB,AFGC,AFGD,AFGE,YRD,RVT,KCG,BAX,TEO,KYN,ELY,MODG,CALY,EQR,NFJ,AGO,AWF,SKM,BBN,EURN,GAB,UTG
2017-10-01,2018-01-01,0.060539,0.070654,22,VST,BMA,ARCH,MGR,VAL,FMX,NOAH,DD,AFGB,AFGC,AFGD,AFGE,YRD,RVT,KCG,BAX,PDI,PTY,TEO,KYN,CALY,MODG,ELY,EQR,NFJ,AGO,AWF,SKM,EURN,GAB
2018-01-01,2018-04-01,-0.008522,-0.038208,22,VST,BMA,ARCH,MGR,VAL,CIEN,FMX,NOAH,DD,AFGB,AFGC,AFGD,AFGE,YRD,RVT,KCG,ETG,BAX,RY-PT,PDI,PTY,TEO,KYN,ELY,CALY,MODG,EQR,NFJ,AGO,AWF
2018-04-01,2018-07-01,0.039256,0.060615,25,BMA,RZA,RZB,MGR,PRH,PRS,FMX,HCC,PK,CIEN,BTI,BNI,NPO,EQT,ADX,GAB,CVE,KCG,SKM,NOAH,UTF,STEW,BIF,ETG,USA,RY-PT,PDI,GDV,PTY,TY
2018-07-01,2018-10-01,0.029898,0.07796,25,BMA,RZA,RZB,MGR,PRH,PRS,FMX,HCC,PK,CIEN,BTI,BNI,NPO,EQT,ADX,GAB,CVE,KCG,SKM,NOAH,UTF,BIF,STEW,ETG,USA,RY-PT,PDI,GDV,PTY,TY
2018-10-01,2019-01-01,-0.111283,-0.137418,26,BMA,RZA,RZB,MGR,PRH,PRS,FMX,HCC,PK,CIEN,BTI,BNI,NPO,EQT,ADX,GAB,CVE,KCG,SKM,NOAH,UTF,STEW,BIF,ETG,USA,RY-PT,GDV,TY,SPNT,IVR
2019-01-01,2019-04-01,0.131223,0.147523,25,BMA,RZA,RZB,MGR,PRH,PRS,FMX,HCC,PK,BTI,BNI,NPO,EQT,ADX,GAB,CVE,KCG,SKM,NOAH,UTF,BIF,STEW,USA,GDV,RY-PT,TY,SPNT,IVR,RGA,RZC
2019-04-01,2019-07-01,-0.049933,0.039428,19,OIBR-C,JXN-PA,UZA,JXN,CBD,MTB-PJ,HCC,FSK,X,CEPU,CNX,FINV,TX,SWN,SKM,DVN,HTT,QD,CARR,OGN,MT,AFGB,AFGC,NOAH,AFGD,KCG,CXT,AFGE,CPE,AM
2019-07-01,2019-10-01,-0.204331,-0.003604,19,OIBR-C,JXN-PA,UZA,JXN,CBD,MTB-PJ,HCC,FSK,X,CEPU,CNX,FINV,TX,SWN,SKM,DVN,QD,HTT,CARR,OGN,RAMP,MT,AFGB,AFGC,NOAH,AFGD,KCG,CXT,AFGE,CPE
2019-10-01,2020-01-01,0.132105,0.113315,19,OIBR-C,JXN-PA,UZA,JXN,CBD,MTB-PJ,HCC,FSK,X,CEPU,CNX,FINV,TX,SWN,SKM,DVN,QD,HTT,CARR,OGN,RAMP,MT,AFGB,AFGC,NOAH,AFGD,KCG,CXT,AFGE,CPE
2020-01-01,2020-04-01,-0.402812,-0.237859,20,OIBR-C,JXN-PA,UZA,JXN,CBD,MTB-PJ,HCC,FSK,X,CEPU,CNX,FINV,TX,SWN,SKM,DVN,HTT,QD,CARR,OGN,RAMP,MT,AFGB,AFGC,RY-PT,NOAH,AFGD,KCG,CXT,AFGE
2020-04-01,2020-07-01,0.258361,0.26705,22,BMA,EDN,SWN,YRD,UZA,MTB-PJ,BBAR,ZEPP,FINV,XYF,CEPU,BRDG,AFGD,OGN,AFGE,ELPC,AFGB,SLVM,AFGC,HTT,QD,FMX,UTF,ADX,HCC,NOAH,RQI,RVT,RNP,MUR
2020-07-01,2020-10-01,-0.064797,0.089758,23,BMA,EDN,SWN,YRD,UZA,MTB-PJ,BBAR,ZEPP,FINV,XYF,CEPU,BRDG,AFGD,OGN,AFGE,ELPC,AFGB,SLVM,AFGC,QD,HTT,FMX,UTF,ADX,HCC,NOAH,RQI,RVT,RNP,MUR
2020-10-01,2021-01-01,0.180764,0.098851,24,BMA,EDN,SWN,YRD,UZA,MTB-PJ,BBAR,ZEPP,FINV,XYF,CEPU,BRDG,AFGD,OGN,AFGE,ELPC,AFGB,SLVM,AFGC,QD,HTT,FMX,UTF,ADX,HCC,NOAH,RQI,RVT,RNP,MUR
2021-01-01,2021-04-01,0.183336,0.089843,24,BMA,EDN,SWN,YRD,UZA,MTB-PJ,BBAR,ZEPP,FINV,XYF,CEPU,BRDG,AFGD,OGN,AFGE,ELPC,AFGB,SLVM,AFGC,QD,HTT,FMX,UTF,ADX,HCC,NOAH,RQI,RVT,RNP,MUR
2021-04-01,2021-07-01,0.056851,0.077972,25,CRC,SUPV,CEPU,ELPC,LOMA,BBAR,CNNE,BRDG,FINV,BST,PSLV,KEN,AFGC,AFGE,AFGD,AFGB,EURN,CMBT,AEL,OGN,CEF,CANG,HQH,WTM,KCG,BIO,EOS,SFN,RY-PT,MDU
2021-07-01,2021-10-01,0.014741,0.01208,26,CRC,SUPV,CEPU,ELPC,LOMA,BBAR,CNNE,BRDG,FINV,BST,PSLV,KEN,AFGC,AFGE,AFGD,AFGB,EURN,CMBT,AEL,OGN,CEF,CANG,EVV,AWF,HQH,WTM,KCG,BIO,EOS,SFN
2021-10-01,2022-01-01,0.015383,0.103963,28,CRC,SUPV,CEPU,ELPC,LOMA,BBAR,CNNE,BRDG,FINV,BST,PSLV,WOR,KEN,AFGC,AFGE,AFGD,AFGB,EURN,CMBT,AEL,OGN,CEF,CANG,EVV,AWF,HQH,WTM,KCG,BIO,EOS
2022-01-01,2022-04-01,-0.012106,-0.04894,29,CRC,SUPV,CEPU,ELPC,LOMA,BBAR,CNNE,BRDG,FINV,BST,PSLV,ETG,WOR,EVT,KEN,AFGC,AFGE,AOD,AFGD,AFGB,EXG,EURN,CMBT,AEL,ETY,OGN,CEF,CANG,EVV,AWF
2022-04-01,2022-07-01,-0.158312,-0.15463,23,TGS,JXN-PA,JXN,PRH,BBAR,XYF,BTE,PRS,FG,DAC,ZIM,X,ELPC,CRBG,CPG,VRN,AFGE,AFGB,AFGC,MTB-PJ,PBR,AFGD,CIB,FMX,MGR,NOAH,LOMA,FGN,VET,TX
2022-07-01,2022-10-01,0.011678,-0.034415,23,TGS,JXN-PA,JXN,PRH,BBAR,XYF,BTE,PRS,FG,DAC,ZIM,X,ELPC,CRBG,CPG,VRN,AFGE,AFGB,AFGC,MTB-PJ,PBR,AFGD,CIB,FMX,MGR,NOAH,LOMA,FGN,VET,TX
2022-10-01,2023-01-01,0.039966,0.043514,25,IRS,TGS,JXN-PA,JXN,PRH,BBAR,XYF,BTE,PRS,FG,DAC,ZIM,X,ELPC,CRBG,VRN,CPG,AFGE,AFGB,AFGC,MTB-PJ,PBR,AFGD,CIB,FMX,MGR,NOAH,LOMA,FGN,VET
2023-01-01,2023-04-01,0.051448,0.083236,26,IRS,TGS,JXN-PA,JXN,PRH,BBAR,XYF,BTE,PRS,FG,DAC,ZIM,X,ELPC,CRBG,VRN,CPG,AFGE,AFGB,AFGC,MTB-PJ,PBR,AFGD,CIB,FMX,MGR,NOAH,LOMA,FGN,VET
