rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,holdings
2005-07-01,2005-10-01,0.210709,0.030133,22,AFGE,AFGB,AFGD,AFGC,MT,CIB,RVT,CUZ,TY,UZA,PBR-A,MO,GIM,CLF,ITT,FNF,GGB,ACGL,HTZ,PKX,OVV,ASH,AET,HBI,NL,X,DXC,COP,MDU,VLO
2005-10-01,2006-01-01,0.018437,0.038844,22,AFGE,AFGB,AFGD,AFGC,MT,CIB,RVT,CUZ,TY,UZA,PBR-A,MO,GIM,CLF,ITT,FNF,GGB,ACGL,HTZ,PKX,OVV,ASH,AET,HBI,NL,X,DXC,COP,MDU,VLO
2006-01-01,2006-04-01,0.145575,0.028044,23,AFGE,AFGB,AFGD,AFGC,ASH,MT,CIB,RVT,CUZ,TY,UZA,PBR-A,MO,CLF,ITT,FNF,GGB,ACGL,HTZ,PKX,OVV,AET,HBI,GIM,NL,X,DXC,COP,MDU,VLO
2006-04-01,2006-07-01,-0.012292,-0.010534,22,ASH,FMX,DD,DO,IBKR,UZA,FNF,JEF,PBR-A,EAI,VYX,IFN,RVT,HGH,PKX,RNWK,SKM,MRO,HBI,COP,LDOS,PDS,TXMD,MO,GIM,ITT,SBS,DXC,MDU,BMA
2006-07-01,2006-10-01,0.00129,0.045837,21,ASH,FMX,DD,DO,IBKR,UZA,FNF,JEF,PBR-A,EAI,VYX,IFN,RVT,HGH,PKX,RNWK,SKM,MRO,HBI,COP,LDOS,PDS,TXMD,MO,GIM,ITT,SBS,MDU,BMA,CDW
2006-10-01,2007-01-01,0.135029,0.06826,22,ASH,FMX,DD,DO,IBKR,UZA,FNF,JEF,PBR-A,EAI,VYX,IFN,RVT,HGH,PKX,RNWK,SKM,MRO,COP,LDOS,PDS,TXMD,MO,GIM,ITT,SBS,MDU,BMA,CDW,GGB
2007-01-01,2007-04-01,0.022245,0.00953,23,FMX,DD,DO,IBKR,UZA,FNF,JEF,A,PBR-A,EAI,VYX,IFN,RVT,HGH,PKX,RNWK,SKM,MRO,COP,LDOS,PDS,TXMD,MO,ITT,SBS,MDU,BMA,ASH,CDW,GGB
2007-04-01,2007-07-01,0.104393,0.072337,17,AWI,IBKR,UZA,DD,FMX,ELPC,RVT,BX,EAI,BCO,A,HGH,IFN,ITT,MO,OVV,MRO,HBM,EMP,CAM,NE,DNP,ENO,ENJ,APO,ENH,BMA,WFG,RZA,AXS
2007-07-01,2007-10-01,-0.005523,0.021405,19,AWI,IBKR,UZA,DD,FMX,ELPC,RVT,BX,EAI,BCO,A,HGH,IFN,ITT,MO,OVV,MRO,HBM,EMP,CAM,NE,DNP,ENJ,ENO,APO,ENH,BMA,WFG,RZA,AXS
2007-10-01,2008-01-01,-0.010026,-0.055792,20,AWI,IBKR,UZA,DD,FMX,ELPC,RVT,BX,EAI,BCO,A,HGH,IFN,ITT,MO,OVV,MRO,HBM,EMP,CAM,NE,DNP,ENO,ENJ,APO,ENH,BMA,WFG,RZA,AXS
2008-01-01,2008-04-01,-0.051196,-0.052652,20,AWI,IBKR,UZA,DD,FMX,ELPC,RVT,BX,EAI,BCO,HGH,IFN,ITT,MO,OVV,MRO,HBM,EMP,CAM,NE,DNP,GIM,ENJ,ENO,APO,ENH,BMA,WFG,RZA,AXS
2008-04-01,2008-07-01,-0.040037,-0.055578,25,DUKB,ACH,IBKR,FMX,UZA,IFN,ELPC,PRI,DD,TT,ITT,HGH,BX,DAL,NM,TGNA,RVT,MDU,MTW,CAM,GIM,TNL,CYD,SPXC,WRB,MO,ENH,AXS,TRN,CNI
2008-07-01,2008-10-01,-0.14494,-0.090743,25,DUKB,ACH,IBKR,FMX,UZA,IFN,ELPC,PRI,DD,TT,ITT,HGH,BX,DAL,NM,TGNA,RVT,MDU,MTW,GIM,TNL,CYD,SPXC,WRB,MO,ENH,AXS,TRN,CNI,CEF
2008-10-01,2009-01-01,-0.188938,-0.192512,25,DUKB,ACH,IBKR,FMX,UZA,IFN,ELPC,DRD,PRI,DD,TT,ITT,HGH,BX,DAL,NM,TGNA,RVT,MDU,MTW,GIM,TNL,CYD,SPXC,WRB,MO,ENH,AXS,TRN,CNI
2009-01-01,2009-04-01,-0.189674,-0.121837,25,DUKB,ACH,IBKR,FMX,UZA,IFN,ELPC,DRD,PRI,DD,TT,ITT,HGH,BX,DAL,NM,TGNA,RVT,MDU,MTW,GIM,TNL,CYD,SPXC,WRB,MO,ENH,HPQ,AXS,TRN
2009-04-01,2009-07-01,0.229118,0.14557,26,MHNC,IBKR,UZA,ITT,X,DRD,TX,GLW,ELPC,L,RS,EBR-B,OVV,FTI,MRO,RIG,NCTY,CF,TNH,MUR,NE,EBAY,ICL,ATI,MT,NOV,VALE,GIM,WMB,PBR-A
2009-07-01,2009-10-01,0.11761,0.120529,26,MHNC,IBKR,UZA,ITT,X,DRD,TX,DXC,GLW,ELPC,L,RS,EBR-B,OVV,FTI,MRO,RIG,NCTY,CF,TNH,MUR,NE,EBAY,ICL,ATI,MT,NOV,VALE,GIM,WMB
2009-10-01,2010-01-01,0.179638,0.106527,26,MHNC,IBKR,UZA,ITT,X,TX,DXC,GLW,ELPC,L,RS,EBR-B,OVV,FTI,MRO,RIG,NCTY,CF,TNH,MUR,NE,EBAY,ICL,ATI,MT,NOV,VALE,GIM,WMB,PBR-A
2010-01-01,2010-04-01,0.022588,0.043738,26,MHNC,IBKR,UZA,ITT,X,TX,DXC,GLW,GIM,ELPC,L,RS,CEF,EBR-B,OVV,FTI,MRO,RIG,NCTY,CF,TNH,MUR,NE,EBAY,ICL,ATI,MT,NOV,VALE,WMB
2010-04-01,2010-07-01,-0.034607,-0.123582,19,MHNC,GM,IBKR,UZA,KDP,IFN,FMX,BMA,EAI,DXC,ITT,GIM,PRI,LEA,CEF,PRS,RNR,KYN,NE,EMP,ENJ,ENO,ENH,BMY,SATS,NLY,ACGL,EFM,RZA,EMQ
2010-07-01,2010-10-01,0.108064,0.121395,20,MHNC,GM,IBKR,UZA,KDP,IFN,FMX,BMA,EAI,ITT,GIM,PRI,LEA,CEF,EVV,IGD,PRS,RNR,KYN,NE,EMP,ENO,ENJ,ENH,BMY,SATS,NLY,ACGL,EFM,RZA
2010-10-01,2011-01-01,0.130501,0.114312,21,MHNC,GM,IBKR,UZA,KDP,IFN,FMX,BMA,EAI,ITT,GIM,PRI,LEA,CEF,EVV,IGD,PRS,RNR,KYN,WDC,NE,EMP,STX,ENO,ENJ,ENH,BMY,SATS,NLY,ACGL
2011-01-01,2011-04-01,0.048747,0.052524,22,MHNC,GM,IBKR,UZA,KDP,IFN,FMX,BMA,EAI,ITT,GIM,PRI,LEA,OSK,MU,EVV,IGD,PRS,RNR,KYN,WDC,NE,EMP,STX,ENJ,ENO,ENH,CEF,BMY,SATS
2011-04-01,2011-07-01,0.013913,0.010819,24,MHNC,FMX,RFP,LYB,UZA,ITT,KDP,GIM,BMA,OSK,JEF,MU,FWONA,EVV,RZA,IGD,AET,AGNC,WDC,BG,KYN,STX,MGR,OC,CEF,SKM,VECO,RNR,EDD,FNF
2011-07-01,2011-10-01,-0.26601,-0.174911,24,MHNC,FMX,RFP,LYB,UZA,ITT,KDP,GIM,BMA,OSK,JEF,MU,FWONA,RZA,AET,AGNC,WDC,BG,KYN,STX,MGR,OC,CEF,SKM,VECO,RNR,EDD,FNF,IFN,ENH
2011-10-01,2012-01-01,0.182155,0.167232,24,MHNC,FMX,RFP,LYB,UZA,ITT,KDP,GIM,BMA,OSK,JEF,MU,FWONA,RZA,AET,AGNC,BG,KYN,MGR,OC,CEF,SKM,VECO,RNR,EDD,FNF,IFN,ENH,AXS,HPQ
2012-01-01,2012-04-01,0.105128,0.117341,24,MHNC,FMX,RFP,LYB,UZA,ITT,KDP,BMA,JEF,FWONA,RZA,HPQ,AET,AGNC,BG,KYN,MGR,ASH,CEF,OC,SKM,VECO,RNR,GIM,FNF,IFN,ENH,AXS,OSK,ACGL
2012-04-01,2012-07-01,-0.046677,-0.032616,26,BMA,AIG,UZA,DD,DDT,AGO,GRVY,GM,HFC,MGR,TGNA,HPQ,DINO,SKM,CVI,CYS,BBAR,GNRC,AET,ASH,FWONA,CYD,IVR,CEF,WTM,PSX,MET,GIM,VALE,MPC
2012-07-01,2012-10-01,0.089167,0.063079,26,BMA,AIG,UZA,DD,DDT,AGO,GRVY,GM,HFC,MGR,TGNA,HPQ,DINO,SKM,CVI,CYS,BBAR,GNRC,AET,ASH,FWONA,CYD,IVR,CEF,CSAN,WTM,PSX,MET,GIM,VALE
2012-10-01,2013-01-01,0.116514,0.018995,26,BMA,FMD,AIG,UZA,DD,DDT,AGO,GRVY,GM,WDC,HFC,MGR,TGNA,HPQ,DINO,STX,SKM,CVI,CYS,BBAR,GNRC,AET,ASH,FWONA,CYD,IVR,CEF,CSAN,WTM,PSX
2013-01-01,2013-04-01,0.06229,0.073194,27,BMA,FMD,AIG,UZA,DD,DDT,AGO,GRVY,GM,WDC,HFC,MGR,TGNA,DINO,STX,SKM,CVI,CYS,BBAR,GNRC,AET,FWONA,CYD,IVR,CSAN,WTM,PSX,MET,VALE,MPC
2013-04-01,2013-07-01,0.071113,0.039519,21,CGABL,ARGVX,BMA,FMD,TROX,UZA,SNV,FWONA,TY,FWONK,MTB-PJ,WDC,BBAR,SIRI,CC,LEA,DDT,STX,FLCSX,TEO,CIG,CSAN,UTF,IGR,RQI,AET,OIS,XRX,AFGB,AFGC
2013-07-01,2013-10-01,0.121859,0.054572,23,CGABL,ARGVX,BMA,FMD,TROX,UZA,SNV,FWONA,TY,FWONK,MTB-PJ,WDC,BBAR,SIRI,CC,LEA,DDT,STX,FLCSX,DXC,OA,TEO,CIG,UTF,IGR,RQI,AET,OIS,XRX,AFGB
2013-10-01,2014-01-01,0.029302,0.086053,22,CGABL,ARGVX,BMA,TROX,UZA,SNV,FWONA,TY,FWONK,MTB-PJ,BBAR,SIRI,CC,LEA,DDT,FLCSX,DXC,OA,TEO,CIG,UTF,IGR,RQI,AET,OIS,XRX,AFGB,AFGC,FNF,TGNA
2014-01-01,2014-04-01,0.081208,0.033661,22,CGABL,ARGVX,BMA,TROX,UZA,SNV,FWONA,TY,FWONK,MTB-PJ,BBAR,SIRI,CC,LEA,DDT,FLCSX,DXC,OA,TEO,HPQ,ETG,CIG,UTF,IGR,RQI,AET,OIS,XRX,AFGB,AFGC
2014-04-01,2014-07-01,0.047693,0.051664,23,PRGTX,BMA,VAL,LSXMK,FWONK,FMIHX,FWONA,UZA,DD,DAL,NLY,PHM,MTB-PJ,BPOPM,RVT,GDV,USA,GAM,GAB,DDT,SBSW,IAC,MGR,ADX,NOAH,UCBI,UCB,FTEMX,DXC,WMCNX
2014-07-01,2014-10-01,-0.047381,-0.008988,24,PRGTX,BMA,VAL,LSXMK,FWONK,FMIHX,FWONA,UZA,DD,DAL,NLY,PHM,MTB-PJ,BPOPM,RVT,GDV,USA,GAM,GAB,DDT,SBSW,IAC,MGR,ADX,NOAH,UCB,UCBI,FTEMX,WMCNX,TY
2014-10-01,2015-01-01,0.080757,0.062803,23,PRGTX,BMA,VAL,LSXMK,FWONK,FMIHX,FWONA,UZA,DD,DAL,TILHX,NLY,PHM,MTB-PJ,BPOPM,RVT,GDV,USA,GAM,GAB,DDT,SBSW,IAC,MGR,ADX,NOAH,UCBI,UCB,FTEMX,WMCNX
2015-01-01,2015-04-01,0.04754,0.005786,23,PRGTX,BMA,VAL,LSXMK,FWONK,FMIHX,FWONA,UZA,DD,DAL,TILHX,NLY,PHM,MTB-PJ,BPOPM,RVT,GDV,USA,GAM,GAB,CNR,DDT,SBSW,IAC,GIM,MGR,ADX,NOAH,UCB,UCBI
2015-04-01,2015-07-01,-0.03343,0.013656,25,RCA,BMA,FMIHX,CBD,TILHX,GHC,FMX,DD,OVV,FBP,NOAH,MGR,RDN,RQI,CARS,CYS,DDT,CNR,GIM,AGO,JOE,MIC,EVT,BTT,VOYA,FNILX,HQH,TTWO,TNH,DNP
2015-07-01,2015-10-01,-0.125024,-0.069254,25,RCA,BMA,FMIHX,CBD,TILHX,GHC,FMX,DD,OVV,FBP,NOAH,MGR,RDN,RQI,CARS,CYS,DDT,CNR,GIM,AGO,JOE,MIC,EVT,BTT,VOYA,FNILX,HQH,TNH,DNP,CFX
2015-10-01,2016-01-01,0.00071,0.052541,25,RCA,BMA,FMIHX,CBD,GHC,FMX,DD,OVV,FBP,NOAH,MGR,RDN,RQI,CARS,CYS,DDT,CNR,GIM,AGO,JOE,MIC,EVT,VOYA,SCHL,FNILX,HQH,TNH,DNP,CFX,RY-PT
2016-01-01,2016-04-01,0.029094,0.034644,27,RCA,BMA,FMIHX,CBD,GHC,FMX,DD,OVV,FBP,NOAH,MGR,RDN,RQI,CARS,CYS,DDT,AGO,JOE,MIC,SANM,VOYA,HPQ,SCHL,FNILX,HQH,TNH,CFX,IGR,RY-PT,MSGN
2016-04-01,2016-07-01,0.017027,0.01974,26,PRGTX,BMA,ACH,DD,FMIHX,BPOPM,PRH,PRS,VC,KEP,MTG,MGR,BPOPN,FMX,BPOP,TRN,AGO,NOAH,SANM,HPQ,SCHL,KCG,FTEMX,RY-PT,YRD,MSGN,LAZ,GBX,EURN,MU
2016-07-01,2016-10-01,0.140787,0.033113,26,PRGTX,BMA,ACH,DD,FMIHX,BPOPM,PRH,PRS,VC,KEP,MTG,MGR,BPOPN,FMX,BPOP,TRN,AGO,NOAH,TGABX,SANM,HPQ,SCHL,GEN,KCG,FTEMX,RY-PT,YRD,MSGN,LAZ,GBX
2016-10-01,2017-01-01,0.035291,0.050038,26,PRGTX,BMA,ACH,DD,FMIHX,BPOPM,PRH,PRS,VC,KEP,MTG,MGR,BPOPN,FMX,BPOP,TRN,AGO,NOAH,TGABX,SANM,HPQ,GEN,KCG,FTEMX,RY-PT,YRD,LAZ,BBN,GBX,EURN
2017-01-01,2017-04-01,0.08376,0.04934,25,PRGTX,BMA,ACH,DD,FMIHX,BPOPM,PRH,PRS,VC,KEP,MTG,MGR,BPOPN,FMX,BPOP,TRN,AGO,NOAH,TGABX,GEN,KCG,FTEMX,YRD,LAZ,BBN,EURN,TNH,WMCNX,UTG,RMBS
2017-04-01,2017-07-01,0.068916,0.034254,23,PRGTX,VST,BMA,ARCH,MGR,VAL,FMX,NOAH,DD,AFGB,AFGC,AFGD,AFGE,YRD,RVT,TGABX,KCG,ODP,EBAY,BAX,GEN,TEO,KYN,CALY,ELY,MODG,EQR,NFJ,AGO,SKM
2017-07-01,2017-10-01,0.084139,0.046876,22,PRGTX,VST,BMA,ARCH,MGR,VAL,FMX,NOAH,DD,AFGB,AFGC,AFGD,AFGE,YRD,RVT,KCG,TGABX,ODP,EBAY,BAX,TEO,KYN,ELY,MODG,CALY,EQR,NFJ,AGO,AWF,SKM
2017-10-01,2018-01-01,0.052211,0.070654,22,PRGTX,VST,BMA,ARCH,MGR,VAL,TILHX,FMX,NOAH,DD,AFGB,AFGC,AFGD,AFGE,YRD,RVT,KCG,TGABX,ODP,EBAY,BAX,PDI,PTY,TEO,KYN,MODG,ELY,CALY,EQR,NFJ
2018-01-01,2018-04-01,-0.032007,-0.038208,23,PRGTX,VST,BMA,ARCH,MGR,VAL,TILHX,CIEN,FMX,NOAH,DD,AFGB,AFGC,AFGD,AFGE,YRD,RVT,KCG,TGABX,ODP,EBAY,ETG,CSQ,BAX,RY-PT,PDI,PTY,TEO,KYN,MODG
2018-04-01,2018-07-01,0.051229,0.060615,22,PRGTX,BMA,RZA,RZB,MGR,PRH,PRS,FMX,TILHX,CGABL,HCC,PK,CIEN,FWP,WYHG,BTI,BNI,CAN,IEP,NPO,EQT,ADX,GAB,CVE,KCG,SKM,TGABX,NOAH,UTF,STEW
2018-07-01,2018-10-01,-2.1e-05,0.07796,22,PRGTX,BMA,RZA,RZB,MGR,PRH,PRS,FMX,TILHX,CGABL,HCC,PK,CIEN,FWP,WYHG,BTI,BNI,CAN,IEP,NPO,TGABX,EQT,ADX,GAB,CVE,KCG,SKM,NOAH,UTF,BIF
2018-10-01,2019-01-01,-0.119543,-0.137418,23,PRGTX,BMA,RZA,RZB,MGR,PRH,PRS,FMX,CGABL,HCC,PK,CIEN,FWP,WYHG,BTI,BNI,CAN,IEP,NPO,TGABX,EQT,ADX,GAB,CVE,KCG,SKM,NOAH,UTF,BIF,STEW
2019-01-01,2019-04-01,0.159109,0.147523,23,PRGTX,BMA,RZA,RZB,MGR,PRH,PRS,FMX,CGABL,HCC,PK,FWP,WYHG,BTI,BNI,CAN,IEP,NPO,TGABX,EQT,ADX,GAB,CVE,KCG,SKM,NOAH,UTF,MU,BIF,STEW
2019-04-01,2019-07-01,-0.020114,0.039428,23,OIBR-C,JTSSX,SMTAX,GEMAX,PRGTX,JMUEX,JXN-PA,UZA,JXN,CBD,MTB-PJ,HCC,FSK,X,CEPU,CNX,FINV,TX,SWN,SKM,DVN,TGABX,HTT,QD,CARR,REGI,OGN,BPOPM,ZEAL,MT
2019-07-01,2019-10-01,-0.132474,-0.003604,23,OIBR-C,JTSSX,SMTAX,GEMAX,PRGTX,JMUEX,JXN-PA,UZA,JXN,CBD,MTB-PJ,HCC,FSK,X,CEPU,CNX,FINV,TX,SWN,SKM,DVN,QD,HTT,TGABX,CARR,REGI,OGN,BPOPM,RAMP,ZEAL
2019-10-01,2020-01-01,0.158739,0.113315,23,OIBR-C,JTSSX,SMTAX,GEMAX,PRGTX,JMUEX,JXN-PA,UZA,JXN,CBD,MTB-PJ,HCC,FSK,X,CEPU,CNX,FINV,TX,SWN,SKM,DVN,HTT,QD,TGABX,CARR,REGI,OGN,BPOPM,RAMP,ZEAL
2020-01-01,2020-04-01,-0.352881,-0.237859,23,OIBR-C,JTSSX,SMTAX,GEMAX,PRGTX,JMUEX,JXN-PA,UZA,JXN,CBD,MTB-PJ,HCC,FSK,X,CEPU,CNX,FINV,TX,SWN,SKM,DVN,HTT,QD,TGABX,CARR,REGI,OGN,BPOPM,RAMP,ZEAL
2020-04-01,2020-07-01,0.160778,0.26705,20,BMA,WFRD,EDN,SWN,YRD,UZA,MTB-PJ,BBAR,ZEPP,FINV,XYF,CEPU,BRDG,AFGD,OGN,CGABL,CRON,PRTC,AFGE,ELPC,AFGB,GGAL,SLVM,AFGC,HTT,QD,REGI,FLCSX,FMX,LGND
2020-07-01,2020-10-01,-0.034326,0.089758,21,BMA,WFRD,EDN,SWN,YRD,UZA,MTB-PJ,BBAR,ZEPP,FINV,XYF,CEPU,BRDG,AFGD,OGN,CGABL,CRON,PRTC,AFGE,ELPC,AFGB,TGABX,GGAL,SLVM,AFGC,HTT,QD,REGI,FLCSX,FMX
2020-10-01,2021-01-01,0.241871,0.098851,22,BMA,WFRD,EDN,SWN,YRD,UZA,MTB-PJ,BBAR,ZEPP,FINV,XYF,CEPU,BRDG,AFGD,OGN,CGABL,CRON,PRTC,AFGE,ELPC,AFGB,TGABX,GGAL,SLVM,AFGC,QD,HTT,REGI,FLCSX,FMX
2021-01-01,2021-04-01,0.224685,0.089843,23,BMA,WFRD,EDN,SWN,YRD,UZA,MTB-PJ,BBAR,ZEPP,FINV,XYF,CEPU,BRDG,AFGD,OGN,CGABL,CRON,PRTC,AFGE,ELPC,AFGB,TGABX,GGAL,SLVM,AFGC,QD,HTT,REGI,FLCSX,FMX
2021-04-01,2021-07-01,0.097188,0.077972,23,CRC,GGAL,SUPV,CEPU,ELPC,LOMA,BBAR,GEHC,CNNE,FLCSX,BRDG,ESGR,TPG,FINV,BST,PSLV,TGABX,KEN,QFIN,AFGC,AFGE,AFGD,AFGB,IRCP,EURN,CMBT,BPOPN,FURIX,AEL,OGN
2021-07-01,2021-10-01,-0.026744,0.01208,24,CRC,GGAL,SUPV,CEPU,ELPC,LOMA,BBAR,GEHC,CNNE,FLCSX,BRDG,ESGR,TPG,FINV,BST,PSLV,KEN,QFIN,AFGC,AFGE,AFGD,AFGB,IRCP,CMBT,EURN,BPOPN,FURIX,AEL,OGN,CIH
2021-10-01,2022-01-01,0.035737,0.103963,25,CRC,GGAL,SUPV,CEPU,ELPC,LOMA,BBAR,GEHC,CNNE,FLCSX,BRDG,ESGR,TPG,FINV,BST,PSLV,WOR,KEN,QFIN,PSEC,AFGC,AFGE,AFGD,AFGB,EURN,CMBT,BPOPN,FURIX,AEL,OGN
2022-01-01,2022-04-01,-0.021481,-0.04894,27,CRC,GGAL,SUPV,CEPU,ELPC,LOMA,BBAR,GEHC,CNNE,FLCSX,BRDG,ESGR,TPG,FINV,BST,PSLV,ETG,CSQ,WOR,EVT,KEN,QFIN,PSEC,AFGC,AFGE,AOD,AFGD,AFGB,EXG,EURN
2022-04-01,2022-07-01,-0.182593,-0.15463,21,TGS,LBTYK,JXN-PA,CHKEZ,GGAL,SATS,EXEEL,EXEEZ,JXN,PRH,TPG,BBAR,EXEEW,EXE,CHK,AGIO,ARGVX,ATHS,XYF,SHEN,BTE,PRS,FG,FLCSX,DAC,ZIM,X,ELPC,CRBG,VRN
2022-07-01,2022-10-01,0.04819,-0.034415,21,TGS,LBTYK,JXN-PA,CHKEZ,GGAL,SATS,EXEEL,EXEEZ,JXN,PRH,TPG,BBAR,CHK,EXEEW,EXE,AGIO,ARGVX,ATHS,XYF,SHEN,BTE,PRS,FG,FLCSX,DAC,ZIM,X,ELPC,CRBG,VRN
