date,sector,count,weight_pct
2016-04-01,Technology,4,13.3
2016-04-01,Consumer Defensive,2,6.7
2016-04-01,Basic Materials,1,3.3
2016-04-01,Unknown,1,3.3
2016-04-01,Utilities,1,3.3
2016-07-01,Financial Services,7,23.3
2016-07-01,Industrials,6,20.0
2016-07-01,Technology,5,16.7
2016-07-01,Consumer Cyclical,4,13.3
2016-07-01,Energy,4,13.3
2016-07-01,Utilities,1,3.3
2016-07-01,Basic Materials,1,3.3
2016-07-01,Consumer Defensive,1,3.3
2016-07-01,Unknown,1,3.3
2016-10-01,Financial Services,7,23.3
2016-10-01,Industrials,6,20.0
2016-10-01,Technology,5,16.7
2016-10-01,Energy,4,13.3
2016-10-01,Consumer Cyclical,3,10.0
2016-10-01,Consumer Defensive,2,6.7
2016-10-01,Utilities,1,3.3
2016-10-01,Basic Materials,1,3.3
2016-10-01,Unknown,1,3.3
2017-01-01,Financial Services,7,23.3
2017-01-01,Industrials,5,16.7
2017-01-01,Technology,4,13.3
2017-01-01,Consumer Cyclical,4,13.3
2017-01-01,Energy,4,13.3
2017-01-01,Consumer Defensive,2,6.7
2017-01-01,Healthcare,1,3.3
2017-01-01,Utilities,1,3.3
2017-01-01,Basic Materials,1,3.3
2017-01-01,Unknown,1,3.3
2017-04-01,Consumer Cyclical,11,36.7
2017-04-01,Financial Services,6,20.0
2017-04-01,Technology,5,16.7
2017-04-01,Industrials,4,13.3
2017-04-01,Healthcare,2,6.7
2017-04-01,Real Estate,1,3.3
2017-04-01,Unknown,1,3.3
2017-07-01,Consumer Cyclical,10,33.3
2017-07-01,Financial Services,7,23.3
2017-07-01,Technology,4,13.3
2017-07-01,Industrials,4,13.3
2017-07-01,Healthcare,3,10.0
2017-07-01,Unknown,1,3.3
2017-07-01,Real Estate,1,3.3
2017-10-01,Consumer Cyclical,9,30.0
2017-10-01,Financial Services,7,23.3
2017-10-01,Technology,5,16.7
2017-10-01,Industrials,4,13.3
2017-10-01,Healthcare,3,10.0
2017-10-01,Real Estate,1,3.3
2017-10-01,Communication Services,1,3.3
2018-01-01,Consumer Cyclical,11,36.7
2018-01-01,Financial Services,6,20.0
2018-01-01,Industrials,4,13.3
2018-01-01,Technology,3,10.0
2018-01-01,Healthcare,2,6.7
2018-01-01,Basic Materials,1,3.3
2018-01-01,Communication Services,1,3.3
2018-01-01,Real Estate,1,3.3
2018-01-01,Energy,1,3.3
2018-04-01,Financial Services,8,26.7
2018-04-01,Industrials,6,20.0
2018-04-01,Healthcare,4,13.3
2018-04-01,Energy,4,13.3
2018-04-01,Basic Materials,2,6.7
2018-04-01,Consumer Defensive,2,6.7
2018-04-01,Real Estate,1,3.3
2018-04-01,Communication Services,1,3.3
2018-04-01,Technology,1,3.3
2018-04-01,Consumer Cyclical,1,3.3
2018-07-01,Financial Services,8,26.7
2018-07-01,Industrials,6,20.0
2018-07-01,Energy,5,16.7
2018-07-01,Healthcare,3,10.0
2018-07-01,Consumer Defensive,3,10.0
2018-07-01,Basic Materials,2,6.7
2018-07-01,Real Estate,1,3.3
2018-07-01,Technology,1,3.3
2018-07-01,Communication Services,1,3.3
2018-10-01,Financial Services,8,26.7
2018-10-01,Industrials,6,20.0
2018-10-01,Energy,5,16.7
2018-10-01,Healthcare,3,10.0
2018-10-01,Consumer Defensive,3,10.0
2018-10-01,Basic Materials,2,6.7
2018-10-01,Real Estate,1,3.3
2018-10-01,Communication Services,1,3.3
2018-10-01,Technology,1,3.3
2019-01-01,Financial Services,8,26.7
2019-01-01,Industrials,5,16.7
2019-01-01,Consumer Defensive,4,13.3
2019-01-01,Energy,4,13.3
2019-01-01,Technology,3,10.0
2019-01-01,Healthcare,2,6.7
2019-01-01,Real Estate,1,3.3
2019-01-01,Consumer Cyclical,1,3.3
2019-01-01,Basic Materials,1,3.3
2019-01-01,Communication Services,1,3.3
2019-04-01,Financial Services,11,36.7
2019-04-01,Consumer Cyclical,5,16.7
2019-04-01,Energy,3,10.0
2019-04-01,Technology,3,10.0
2019-04-01,Basic Materials,3,10.0
2019-04-01,Consumer Defensive,2,6.7
2019-04-01,Healthcare,1,3.3
2019-04-01,Industrials,1,3.3
2019-04-01,Unknown,1,3.3
2019-07-01,Financial Services,11,36.7
2019-07-01,Consumer Cyclical,6,20.0
2019-07-01,Energy,3,10.0
2019-07-01,Basic Materials,3,10.0
2019-07-01,Technology,3,10.0
2019-07-01,Healthcare,1,3.3
2019-07-01,Industrials,1,3.3
2019-07-01,Consumer Defensive,1,3.3
2019-07-01,Unknown,1,3.3
2019-10-01,Financial Services,11,36.7
2019-10-01,Consumer Cyclical,6,20.0
2019-10-01,Technology,3,10.0
2019-10-01,Basic Materials,3,10.0
2019-10-01,Energy,3,10.0
2019-10-01,Healthcare,1,3.3
2019-10-01,Industrials,1,3.3
2019-10-01,Consumer Defensive,1,3.3
2019-10-01,Unknown,1,3.3
2020-01-01,Financial Services,11,36.7
2020-01-01,Consumer Cyclical,6,20.0
2020-01-01,Energy,4,13.3
